Experiment	Heuristic	Accuracy	F1 Score (W)	Precision (+)	Recall (+)	Precision (-)	Recall (-)	Roc Auc

PER PROT
human_perProt_gcn	mean	0.471385	0.569958	0.498081	0.406948	0.451431	0.835822	0.471385
human_perProt_gcn	std. dev	0.025498	0.024760	0.039628	0.011734	0.0173s31	0.045153	0.025498
hgcn
human_perprot_protCL_hgcn	mean	0.553142	0.501904	0.634223	0.236901	0.533344	0.869383	0.553142
human_perprot_protCL_hgcn	std. dev	0.032169	0.047520	0.063607	0.066011	0.021202	0.002585	0.032169
human_perprot_noCL_hgcn	mean	0.534761	0.474496	0.596367	0.198959	0.521235	0.870562	0.534761
human_perprot_noCL_hgcn	std. dev	0.024247	0.038790	0.064183	0.051567	0.015026	0.004399	0.024247
human_perProt_noNegsCL_hgcn	mean	0.542693	0.488961	0.614008	0.220802	0.526395	0.864584	0.542693
human_perProt_noNegsCL_hgcn	std. dev	0.023367	0.034697	0.046878	0.048478	0.015368	0.002284	0.023367
human_perProt_noposCL_hgcn	mean	0.555464	0.505609	0.628685	0.245372	0.535471	0.865557	0.555464
human_perProt_noposCL_hgcn	std. dev	0.039225	0.059440	0.086609	0.082620	0.025722	0.004680	0.039225
human_perProt_randomNegs_hgcn	mean	0.563480	0.517811	0.658251	0.258427	0.539910	0.868532	0.563480
human_perProt_randomNegs_hgcn	std. dev	0.023805	0.034442	0.037672	0.050342	0.016339	0.003362	0.023805

PER PPI
gcn
human_perPPI_gcn	mean	0.699189	0.698502	0.719113	0.654261	0.682930	0.744117	0.699189
human_perPPI_gcn	std. dev	0.001671	0.001865	0.008685	0.018789	0.006606	0.018208	0.001671
hgcn
human_perPPI_protCL_hgcn	mean	0.905038	0.904753	0.865252	0.959543	0.954624	0.850533	0.905038
human_perPPI_protCL_hgcn	std. dev	0.001828	0.001857	0.004036	0.003789	0.003825	0.005586	0.001828
human_perPPI_randomNegs_hgcn	mean	0.904403	0.904169	0.868689	0.952979	0.948067	0.855827	0.904403
human_perPPI_randomNegs_hgcn	std. dev	0.001924	0.001962	0.006715	0.008504	0.008510	0.009755	0.001924
human_perPPI_noNegsCL_hgcn	mean	0.905124	0.904861	0.866894	0.957314	0.952441	0.852935	0.905124
human_perPPI_noNegsCL_hgcn	std. dev	0.001327	0.001347	0.005124	0.007136	0.007170	0.007551	0.001327
human_perPPI_noPosCL_hgcn	mean	0.905902	0.905654	0.868269	0.957016	0.952160	0.854787	0.905902
human_perPPI_noPosCL_hgcn	std. dev	0.001582	0.001571	0.002478	0.004903	0.005004	0.003673	0.001582
human_perPPI_noCL_hgcn	mean	0.905834	0.905563	0.866808	0.959085	0.954252	0.852582	0.905834
human_perPPI_noCL_hgcn	std. dev	0.001664	0.001698	0.004478	0.004542	0.004503	0.006264	0.001664
shgcn
human_test_shgcn_protCL_perPPI	mean	0.897913	0.897532	0.854916	0.958571	0.952861	0.837255	0.897913
human_test_shgcn_protCL_perPPI	std. dev	0.004212	0.004293	0.007071	0.001949	0.001847	0.009482	0.004212
human_shgcn_randomNegs_perPPI	mean	0.900514	0.900173	0.859054	0.958373	0.952947	0.842655	0.900514
human_shgcn_randomNegs_perPPI	std. dev	0.004411	0.004501	0.007877	0.002482	0.002264	0.010607	0.004411
human_test_shgcn_noCL_perPPI	mean	0.899319	0.898968	0.857786	0.957530	0.951955	0.841107	0.899319
human_test_shgcn_noCL_perPPI	std. dev	0.005771	0.005883	0.009970	0.002348	0.002012	0.013349	0.005771



PER PROT DEG
human_perProtDeg_noCL_hgcn	mean	0.563829	0.528235	0.637196	0.291387	0.541717	0.836271	0.563829
human_perProtDeg_noCL_hgcn	std. dev	0.021608	0.029930	0.035464	0.044717	0.015104	0.006595	0.021608
human_perProtDeg_noNegsCL_hgcn	mean	0.511185	0.450749	0.524097	0.181808	0.507080	0.840563	0.511185
human_perProtDeg_noNegsCL_hgcn	std. dev	0.021032	0.034536	0.066926	0.046096	0.012646	0.007331	0.021032
human_perProtDeg_noposCL_hgcn	mean	0.513729	0.455240	0.508388	0.194173	0.509880	0.833286	0.513729
human_perProtDeg_noposCL_hgcn	std. dev	0.047603	0.070389	0.134793	0.093347	0.030080	0.006095	0.047603
human_perProtDeg_randomNegs_hgcn	mean	0.598039	0.571800	0.683419	0.356310	0.567279	0.839767	0.598039
human_perProtDeg_randomNegs_hgcn	std. dev	0.038601	0.049208	0.053518	0.072944	0.028804	0.006453	0.038601
human_perProtDeg_protCL_hgcn	mean	0.595210	0.567507	0.679522	0.349829	0.565642	0.840591	0.595210
human_perProtDeg_protCL_hgcn	std. dev	0.043456	0.054555	0.052534	0.085953	0.034747	0.007232	0.043456
shgcn
human_test_shgcn_noCL_perprot_v3	mean	0.628100	0.618963	0.689597	0.476216	0.597699	0.779984	0.628100
human_test_shgcn_noCL_perprot_v3	std. dev	0.022637	0.018074	0.058009	0.019601	0.010860	0.064650	0.022637
human_test_shgcn_protCL_perprot_v3	mean	0.622315	0.615118	0.668589	0.485779	0.596034	0.758851	0.622315
human_test_shgcn_protCL_perprot_v3	std. dev	0.006491	0.005485	0.014041	0.004433	0.003503	0.017054	0.006491
human_shgcn_randomNegs_perProt	mean	0.630699	0.622216	0.686708	0.480891	0.600555	0.780508	0.630699
human_shgcn_randomNegs_perProt	std. dev	0.003466	0.002979	0.007539	0.001775	0.001916	0.008460	0.003466
