source_node,target_node,edge_type
2955,4437,neg_statement
26,4437,neg_statement
1846,4437,neg_statement
2333,4437,neg_statement
564,4438,neg_statement
3256,4438,neg_statement
3910,4438,neg_statement
2054,4438,neg_statement
4414,4438,neg_statement
4048,4438,neg_statement
3667,4438,neg_statement
883,4438,neg_statement
3629,4438,neg_statement
2041,4438,neg_statement
3450,4438,neg_statement
979,4438,neg_statement
2040,4438,neg_statement
1441,4438,neg_statement
564,4439,neg_statement
3256,4439,neg_statement
3910,4439,neg_statement
2054,4439,neg_statement
4414,4439,neg_statement
4048,4439,neg_statement
3667,4439,neg_statement
883,4439,neg_statement
3629,4439,neg_statement
2041,4439,neg_statement
3450,4439,neg_statement
979,4439,neg_statement
2040,4439,neg_statement
1441,4439,neg_statement
564,4440,neg_statement
3256,4440,neg_statement
3910,4440,neg_statement
2054,4440,neg_statement
4414,4440,neg_statement
4048,4440,neg_statement
3667,4440,neg_statement
883,4440,neg_statement
3629,4440,neg_statement
2041,4440,neg_statement
3450,4440,neg_statement
979,4440,neg_statement
2040,4440,neg_statement
1441,4440,neg_statement
3667,4441,neg_statement
883,4441,neg_statement
564,4441,neg_statement
3256,4441,neg_statement
3910,4441,neg_statement
2054,4441,neg_statement
4414,4441,neg_statement
4048,4441,neg_statement
3629,4441,neg_statement
2041,4441,neg_statement
3450,4441,neg_statement
979,4441,neg_statement
2040,4441,neg_statement
1441,4441,neg_statement
2037,4442,neg_statement
2037,4443,neg_statement
2037,4444,neg_statement
2037,4445,neg_statement
2037,4446,neg_statement
2037,4447,neg_statement
2037,4448,neg_statement
2037,4449,neg_statement
2037,4450,neg_statement
2370,4451,neg_statement
2370,4452,neg_statement
2370,4453,neg_statement
3173,4454,neg_statement
3797,4454,neg_statement
1075,4454,neg_statement
3113,4454,neg_statement
2580,4454,neg_statement
2748,4454,neg_statement
3173,4455,neg_statement
3797,4455,neg_statement
1075,4455,neg_statement
3113,4455,neg_statement
2580,4455,neg_statement
2748,4455,neg_statement
3173,4456,neg_statement
3797,4456,neg_statement
1075,4456,neg_statement
3113,4456,neg_statement
2580,4456,neg_statement
2748,4456,neg_statement
3173,4457,neg_statement
3797,4457,neg_statement
1075,4457,neg_statement
3113,4457,neg_statement
2580,4457,neg_statement
2748,4457,neg_statement
3173,4458,neg_statement
3797,4458,neg_statement
1075,4458,neg_statement
3113,4458,neg_statement
2748,4458,neg_statement
2580,4458,neg_statement
3173,4459,neg_statement
3797,4459,neg_statement
1075,4459,neg_statement
3113,4459,neg_statement
2748,4459,neg_statement
2580,4459,neg_statement
3173,4460,neg_statement
3797,4460,neg_statement
1075,4460,neg_statement
3113,4460,neg_statement
2580,4460,neg_statement
2748,4460,neg_statement
3173,4461,neg_statement
3797,4461,neg_statement
1075,4461,neg_statement
3113,4461,neg_statement
2580,4461,neg_statement
2748,4461,neg_statement
3173,4462,neg_statement
3797,4462,neg_statement
1075,4462,neg_statement
2580,4462,neg_statement
2748,4462,neg_statement
3113,4462,neg_statement
3173,4463,neg_statement
3797,4463,neg_statement
1075,4463,neg_statement
3113,4463,neg_statement
2580,4463,neg_statement
2748,4463,neg_statement
1075,4464,neg_statement
3173,4464,neg_statement
3797,4464,neg_statement
3113,4464,neg_statement
