source_node,target_node,edge_type
3738,5657,pos_statement
327,8647,pos_statement
2099,5059,pos_statement
2660,9150,pos_statement
1705,5458,pos_statement
1551,7195,pos_statement
1799,7019,pos_statement
1638,5307,pos_statement
588,5347,pos_statement
1070,9151,pos_statement
987,9152,pos_statement
1929,5347,pos_statement
937,9153,pos_statement
1859,4510,pos_statement
3883,5210,pos_statement
3373,4565,pos_statement
1696,9154,pos_statement
1658,9155,pos_statement
2704,9156,pos_statement
4303,6015,pos_statement
2568,6712,pos_statement
2770,4501,pos_statement
3494,9157,pos_statement
808,8270,pos_statement
897,6387,pos_statement
3964,4895,pos_statement
2464,6538,pos_statement
56,9158,pos_statement
1475,9159,pos_statement
3477,9160,pos_statement
272,4536,pos_statement
3466,9161,pos_statement
2298,9162,pos_statement
2926,4614,pos_statement
887,5724,pos_statement
1719,4580,pos_statement
925,5200,pos_statement
2997,4722,pos_statement
2637,9163,pos_statement
1648,9164,pos_statement
1637,5868,pos_statement
3403,6054,pos_statement
3570,9165,pos_statement
4209,7295,pos_statement
1769,6085,pos_statement
1390,6433,pos_statement
2256,8257,pos_statement
2027,9166,pos_statement
691,4442,pos_statement
3285,9167,pos_statement
616,4510,pos_statement
471,6523,pos_statement
3225,9168,pos_statement
5,6222,pos_statement
4302,6377,pos_statement
4193,4667,pos_statement
1039,4565,pos_statement
842,9169,pos_statement
455,5347,pos_statement
2772,9170,pos_statement
2113,4536,pos_statement
1126,4925,pos_statement
81,8818,pos_statement
58,4789,pos_statement
3504,5657,pos_statement
3911,6538,pos_statement
3345,9171,pos_statement
2733,9172,pos_statement
177,9173,pos_statement
2826,4442,pos_statement
3668,9174,pos_statement
847,7394,pos_statement
1643,4655,pos_statement
1984,5657,pos_statement
3170,9175,pos_statement
2069,4902,pos_statement
463,9176,pos_statement
3479,9177,pos_statement
3609,8791,pos_statement
721,5110,pos_statement
1390,9178,pos_statement
2588,9179,pos_statement
81,6433,pos_statement
1408,8240,pos_statement
2520,4536,pos_statement
4018,6385,pos_statement
863,9163,pos_statement
2815,5168,pos_statement
2547,9180,pos_statement
557,9181,pos_statement
261,4652,pos_statement
1251,6083,pos_statement
1362,8284,pos_statement
523,8287,pos_statement
548,7052,pos_statement
506,4510,pos_statement
1166,6035,pos_statement
1307,9182,pos_statement
3531,4510,pos_statement
2047,5216,pos_statement
766,6531,pos_statement
1896,9183,pos_statement
2051,5200,pos_statement
1518,9184,pos_statement
4299,7088,pos_statement
1438,9185,pos_statement
2313,9186,pos_statement
2578,6472,pos_statement
3469,9187,pos_statement
3179,4564,pos_statement
114,9188,pos_statement
3642,9189,pos_statement
1760,4583,pos_statement
1609,5697,pos_statement
2416,6770,pos_statement
868,4566,pos_statement
4065,9190,pos_statement
1316,4873,pos_statement
1563,9059,pos_statement
4132,5606,pos_statement
758,9191,pos_statement
1540,4573,pos_statement
1239,9192,pos_statement
1258,7497,pos_statement
1578,9193,pos_statement
1262,5207,pos_statement
3082,6486,pos_statement
876,9194,pos_statement
948,8122,pos_statement
3399,6228,pos_statement
4355,8472,pos_statement
851,9195,pos_statement
3247,7151,pos_statement
3303,9196,pos_statement
631,7362,pos_statement
723,9197,pos_statement
458,5146,pos_statement
3269,7001,pos_statement
1611,7146,pos_statement
3102,4482,pos_statement
1800,8628,pos_statement
81,9198,pos_statement
423,9199,pos_statement
312,4534,pos_statement
3163,7802,pos_statement
2522,5656,pos_statement
1104,4990,pos_statement
1735,4536,pos_statement
1057,4925,pos_statement
2284,5974,pos_statement
2957,9200,pos_statement
1002,7429,pos_statement
513,7782,pos_statement
59,6717,pos_statement
4244,9201,pos_statement
3912,4442,pos_statement
3599,4564,pos_statement
820,8084,pos_statement
67,4817,pos_statement
3257,9202,pos_statement
3701,9203,pos_statement
3556,7403,pos_statement
3225,9204,pos_statement
2397,9205,pos_statement
4013,9206,pos_statement
2598,9207,pos_statement
1957,7024,pos_statement
3920,4536,pos_statement
75,9208,pos_statement
3498,8986,pos_statement
500,7549,pos_statement
1725,6700,pos_statement
1702,6205,pos_statement
3526,6223,pos_statement
4143,7026,pos_statement
614,4458,pos_statement
3194,5539,pos_statement
2283,9138,pos_statement
1770,4503,pos_statement
617,7660,pos_statement
2136,6258,pos_statement
171,4580,pos_statement
75,9209,pos_statement
2134,5819,pos_statement
615,9210,pos_statement
400,4565,pos_statement
621,5408,pos_statement
1929,9211,pos_statement
2631,4956,pos_statement
2097,6793,pos_statement
204,9212,pos_statement
2139,9213,pos_statement
1824,5228,pos_statement
552,5751,pos_statement
3188,5458,pos_statement
1999,9119,pos_statement
