source_node,target_node,edge_type
12695,12067,link
12696,12697,link
12698,12699,link
12700,12701,link
12702,12399,link
12703,12704,link
12705,12706,link
12707,12708,link
12709,12710,link
12711,12712,link
12713,12714,link
8819,12223,link
12715,12716,link
12717,12718,link
12719,12720,link
12721,12722,link
12723,12724,link
12725,12726,link
12727,6106,link
12728,12729,link
6787,12730,link
12731,7578,link
12732,9570,link
12733,12734,link
12735,12736,link
12737,12738,link
12739,10884,link
10759,5307,link
12740,12741,link
12742,4849,link
12743,12744,link
10062,12745,link
12746,12474,link
12747,12748,link
12749,12750,link
12751,12752,link
12753,12754,link
12755,12756,link
5859,12757,link
12758,12759,link
12760,12761,link
12762,12763,link
12764,12765,link
12766,12767,link
12768,12769,link
12770,12771,link
12772,12773,link
12774,12775,link
12776,12777,link
12260,6898,link
9225,12778,link
12779,12780,link
12781,12782,link
8158,6593,link
12783,12784,link
7531,12785,link
12786,12787,link
5353,5354,link
12788,10199,link
12158,12789,link
12790,9570,link
12791,9681,link
12792,12793,link
12794,8507,link
12795,10899,link
10712,12785,link
6044,12796,link
12797,12798,link
12799,10212,link
12800,12801,link
12802,9506,link
12803,12804,link
6338,12805,link
12806,12807,link
12536,11837,link
12808,12809,link
12810,12811,link
4850,12812,link
12813,5051,link
10662,12814,link
12815,12816,link
12817,12818,link
12819,12820,link
12821,12822,link
12823,12824,link
11390,8221,link
12825,7996,link
12826,10522,link
9368,9676,link
12827,7610,link
12828,12829,link
4547,12830,link
12831,12832,link
12833,9111,link
11993,11979,link
12834,12835,link
9018,12661,link
12836,12837,link
12838,12839,link
12840,12841,link
12842,9128,link
9824,8238,link
12843,12844,link
12845,12846,link
12847,12848,link
10202,12849,link
12850,7291,link
12851,12852,link
12853,5003,link
12854,9445,link
8741,12855,link
12856,12857,link
12858,12859,link
12860,12861,link
12862,5238,link
5026,10457,link
9605,8379,link
12863,12864,link
12865,12866,link
12867,11542,link
12868,10612,link
12869,12870,link
12871,8691,link
12872,12873,link
12874,12875,link
12876,7501,link
12877,12878,link
12879,12736,link
10638,12880,link
12881,12168,link
12882,12883,link
12884,12885,link
12886,7152,link
12887,12888,link
12889,6927,link
12890,12891,link
12892,12893,link
12894,12895,link
12896,12897,link
12789,12898,link
12374,5851,link
12899,8046,link
12900,10189,link
12901,12902,link
12903,12904,link
