source_node,target_node,edge_type
46667,48415,GO
28327,33526,GO
33717,22362,GO
27502,14548,GO
19148,34215,GO
18728,28401,GO
39009,18080,GO
19701,17837,GO
15267,29596,GO
18546,23841,GO
39309,52052,GO
17526,30356,GO
28813,32667,GO
28424,23755,GO
29502,49378,GO
42676,17717,GO
32329,35559,GO
41925,18661,GO
50336,44721,GO
42624,30847,GO
46122,46308,GO
32470,22910,GO
42690,27833,GO
23542,29139,GO
51355,23963,GO
43197,22924,GO
31522,36194,GO
20818,46389,GO
29397,41432,GO
23130,31999,GO
22386,33953,GO
16295,48728,GO
51708,14547,GO
51787,51283,GO
45864,50659,GO
32437,50526,GO
27443,52596,GO
30696,16900,GO
13520,17869,GO
29300,31171,GO
19666,22119,GO
14371,43028,GO
42915,31467,GO
25156,33026,GO
48435,39408,GO
31996,51006,GO
48692,32736,GO
38991,14737,GO
51765,43547,GO
39175,34878,GO
45977,14928,GO
28978,38135,GO
24348,32659,GO
35612,20710,GO
33386,13526,GO
45760,38805,GO
28931,16961,GO
17591,36050,GO
26778,13152,GO
31107,52376,GO
27167,27833,GO
44434,45838,GO
29415,42182,GO
43570,44579,GO
52093,23978,GO
38607,38805,GO
15107,24876,GO
15927,52568,GO
39052,20907,GO
24792,22490,GO
50752,29825,GO
32546,26407,GO
16331,27065,GO
40071,40342,GO
43493,39047,GO
35891,30581,GO
26477,20199,GO
49298,14642,GO
35172,48606,GO
46896,34627,GO
21538,50407,GO
30506,40455,GO
39486,30549,GO
34654,47951,GO
28301,17942,GO
43081,43354,GO
20864,36263,GO
38265,40359,GO
30639,27219,GO
44239,23749,GO
15697,49874,GO
31767,42647,GO
52700,40826,GO
18152,43538,GO
44249,23268,GO
14822,44188,GO
42388,51357,GO
52621,25201,GO
45257,37040,GO
39319,38593,GO
40696,37401,GO
37821,23827,GO
15683,21783,GO
27723,52409,GO
25686,49621,GO
32986,35701,GO
17644,52505,GO
24381,29412,GO
29600,15841,GO
32445,53114,GO
48274,13614,GO
15156,37798,GO
48603,29089,GO
36037,48993,GO
42493,45231,GO
13870,49232,GO
48990,23153,GO
14168,21785,GO
39526,33709,GO
48877,34179,GO
37409,40249,GO
32533,17219,GO
39068,35945,GO
48314,50614,GO
24606,49327,GO
27031,42199,GO
52840,32271,GO
30951,23963,GO
17602,38508,GO
13471,43377,GO
13815,24335,GO
45898,30099,GO
32448,35291,GO
30914,50385,GO
47757,49558,GO
44504,44226,GO
24748,23729,GO
23223,43768,GO
17700,13050,GO
52376,35316,GO
17361,42013,GO
34856,31691,GO
34210,25525,GO
27217,46263,GO
40774,26572,GO
38496,22780,GO
15047,18025,GO
36991,16400,GO
15890,17025,GO
17066,19402,GO
29344,19573,GO
26140,14023,GO
51623,33361,GO
38935,38082,GO
21307,46908,GO
53339,28070,GO
40771,16956,GO
17866,43183,GO
19115,48295,GO
30632,16053,GO
21472,49242,GO
36987,44291,GO
52412,25628,GO
30545,51500,GO
43947,31848,GO
20807,50858,GO
41747,19029,GO
23458,16228,GO
25751,43266,GO
42067,13392,GO
19014,37197,GO
49315,25443,GO
51932,45251,GO
31052,41827,GO
38741,47807,GO
23603,40560,GO
39076,28871,GO
36026,14564,GO
41538,41863,GO
22597,38726,GO
22695,30696,GO
51550,32714,GO
23776,30034,GO
43428,31992,GO
28973,46208,GO
30149,49105,GO
45642,47963,GO
21759,51183,GO
53180,30239,GO
21532,47768,GO
28571,38805,GO
14876,46631,GO
19249,31285,GO
22209,24407,GO
41055,38805,GO
18744,29481,GO
41795,37998,GO
45566,52126,GO
25494,24551,GO
30315,52429,GO
48203,48512,GO
47678,33871,GO
49769,37232,GO
42305,15982,GO
41032,32983,GO
35610,35518,GO
15841,47749,GO
45681,38605,GO
32125,36251,GO
37078,34330,GO
23152,29762,GO
45472,22745,GO
15630,45838,GO
29324,19309,GO
39935,37424,GO
48754,31249,GO
38229,39665,GO
42121,22569,GO
24563,20301,GO
49679,39136,GO
38256,44509,GO
23189,52931,GO
48440,27121,GO
14304,23883,GO
30223,18247,GO
35020,50248,GO
24981,38071,GO
34430,17379,GO
37475,19459,GO
28190,14399,GO
47929,13067,GO
35609,35352,GO
40980,35046,GO
19108,24196,GO
19109,16050,GO
37240,37715,GO
32279,42725,GO
22904,30099,GO
53242,21602,GO
43999,37526,GO
52382,25948,GO
22072,24027,GO
21902,45421,GO
25596,42463,GO
52921,21563,GO
15665,42036,GO
32104,27761,GO
28765,23502,GO
35143,50284,GO
51697,23219,GO
43278,24745,GO
35699,16688,GO
38038,47487,GO
41653,36224,GO
18019,17814,GO
14746,30157,GO
50061,43028,GO
29114,40954,GO
14474,31601,GO
42820,43626,GO
27830,46672,GO
42425,27245,GO
15538,23925,GO
20957,42759,GO
17556,29787,GO
28395,15890,GO
16697,53257,GO
31451,17379,GO
20759,25737,GO
21379,40694,GO
24085,48481,GO
37605,43531,GO
37067,22678,GO
18204,19478,GO
36309,42725,GO
42893,46524,GO
26769,36067,GO
12895,29959,GO
44403,33881,GO
48504,52096,GO
53490,46110,GO
50915,25536,GO
13290,41862,GO
16340,21216,GO
45229,17979,GO
17647,36039,GO
50223,35150,GO
35174,28777,GO
18004,40843,GO
47340,52692,GO
18875,53485,GO
16898,17535,GO
30290,15027,GO
13144,46113,GO
23018,40952,GO
23521,53114,GO
38099,27840,GO
16085,51514,GO
40137,20984,GO
36978,31785,GO
44228,22826,GO
37886,46904,GO
46703,27219,GO
33251,30157,GO
40265,21409,GO
26576,28593,GO
18927,38805,GO
44224,28408,GO
21340,27370,GO
43378,26271,GO
35972,16714,GO
21645,51753,GO
41125,26289,GO
20158,32110,GO
43400,17379,GO
28460,28070,GO
44678,38872,GO
13116,37918,GO
40992,38089,GO
41011,28401,GO
13120,28070,GO
41466,38660,GO
37936,16237,GO
20982,29926,GO
18295,35235,GO
23870,29847,GO
43525,18094,GO
43367,31342,GO
48736,33517,GO
40466,41575,GO
19160,16514,GO
45259,32110,GO
49958,26293,GO
32904,27149,GO
25569,50838,GO
18611,44310,GO
36217,36334,GO
