source_node,target_node,edge_type
0,49205,neg_statement
0,49938,neg_statement
0,30342,neg_statement
0,38336,neg_statement
0,13774,neg_statement
0,15620,neg_statement
0,19472,neg_statement
0,37850,neg_statement
0,24401,neg_statement
0,40084,neg_statement
0,24866,neg_statement
0,30442,neg_statement
0,24330,neg_statement
0,53468,neg_statement
0,26967,neg_statement
0,42080,neg_statement
0,16193,neg_statement
0,34294,neg_statement
0,25038,neg_statement
0,20524,neg_statement
0,49678,neg_statement
0,44430,neg_statement
0,28971,neg_statement
0,19117,neg_statement
4,14291,neg_statement
4,46313,neg_statement
4,17166,neg_statement
4,52004,neg_statement
4,16888,neg_statement
4,25539,neg_statement
4,21231,neg_statement
4,25061,neg_statement
4,31310,neg_statement
4,43229,neg_statement
4,47256,neg_statement
4,30144,neg_statement
6,21650,neg_statement
6,16397,neg_statement
6,25053,neg_statement
6,38563,neg_statement
6,44908,neg_statement
6,36619,neg_statement
6,30689,neg_statement
6,35212,neg_statement
6,31361,neg_statement
6,19541,neg_statement
6,36620,neg_statement
6,53356,neg_statement
6,52419,neg_statement
8,48197,neg_statement
8,27795,neg_statement
10,32125,neg_statement
10,21532,neg_statement
10,40507,neg_statement
10,15398,neg_statement
10,40588,neg_statement
11,30112,neg_statement
11,32071,neg_statement
13,32300,neg_statement
17,22895,neg_statement
17,31597,neg_statement
18,46672,neg_statement
18,26554,neg_statement
18,46192,neg_statement
19,52570,neg_statement
19,39183,neg_statement
19,38460,neg_statement
19,44210,neg_statement
20,25217,neg_statement
20,33509,neg_statement
20,27262,neg_statement
21,42811,neg_statement
21,30770,neg_statement
21,20837,neg_statement
21,41584,neg_statement
21,27337,neg_statement
21,38349,neg_statement
21,41816,neg_statement
21,40103,neg_statement
21,18945,neg_statement
21,19351,neg_statement
21,52202,neg_statement
21,16333,neg_statement
21,16834,neg_statement
22,49519,neg_statement
22,50099,neg_statement
24,20837,neg_statement
27,13211,neg_statement
27,31363,neg_statement
28,41087,neg_statement
28,21231,neg_statement
28,31689,neg_statement
31,51644,neg_statement
34,19865,neg_statement
36,25511,neg_statement
36,41417,neg_statement
