source_node,target_node,edge_type
0,24330,pos_statement
0,53468,pos_statement
0,25038,pos_statement
0,30442,pos_statement
0,30342,pos_statement
1,29932,pos_statement
1,18106,pos_statement
1,46997,pos_statement
1,20122,pos_statement
1,48197,pos_statement
1,31821,pos_statement
2,20064,pos_statement
2,53205,pos_statement
2,32071,pos_statement
2,17150,pos_statement
2,19500,pos_statement
2,43804,pos_statement
3,21893,pos_statement
3,17638,pos_statement
3,20707,pos_statement
3,30359,pos_statement
3,36003,pos_statement
3,30884,pos_statement
4,14671,pos_statement
4,32843,pos_statement
4,35931,pos_statement
4,50770,pos_statement
4,21801,pos_statement
4,38081,pos_statement
5,15737,pos_statement
5,23747,pos_statement
5,16205,pos_statement
5,30112,pos_statement
5,29317,pos_statement
5,48197,pos_statement
6,29752,pos_statement
6,28948,pos_statement
6,22614,pos_statement
6,43205,pos_statement
6,38552,pos_statement
6,38563,pos_statement
7,23961,pos_statement
7,19685,pos_statement
7,51670,pos_statement
7,32071,pos_statement
7,30112,pos_statement
8,26938,pos_statement
8,44210,pos_statement
8,31201,pos_statement
8,30639,pos_statement
8,23593,pos_statement
8,20122,pos_statement
9,52570,pos_statement
9,32071,pos_statement
9,44210,pos_statement
9,48262,pos_statement
9,44461,pos_statement
9,16513,pos_statement
10,48216,pos_statement
10,40588,pos_statement
10,20122,pos_statement
10,13961,pos_statement
10,29752,pos_statement
10,30579,pos_statement
11,18835,pos_statement
11,30144,pos_statement
11,27337,pos_statement
11,27705,pos_statement
11,33934,pos_statement
11,31181,pos_statement
12,15301,pos_statement
12,20122,pos_statement
12,17891,pos_statement
12,23747,pos_statement
12,19685,pos_statement
12,20837,pos_statement
13,47790,pos_statement
13,22930,pos_statement
13,20122,pos_statement
13,44210,pos_statement
14,30605,pos_statement
14,14933,pos_statement
14,23475,pos_statement
14,18636,pos_statement
14,20122,pos_statement
14,48197,pos_statement
15,26934,pos_statement
15,32071,pos_statement
15,44210,pos_statement
15,28849,pos_statement
15,51728,pos_statement
15,40373,pos_statement
16,23383,pos_statement
16,19693,pos_statement
16,15685,pos_statement
16,30112,pos_statement
16,48197,pos_statement
16,22104,pos_statement
17,27931,pos_statement
17,27337,pos_statement
17,31597,pos_statement
17,51500,pos_statement
17,23919,pos_statement
17,43679,pos_statement
18,42645,pos_statement
18,46192,pos_statement
18,26554,pos_statement
18,28272,pos_statement
