source_node,target_node,edge_type
0,10474,PPI
0,11613,PPI
0,5702,PPI
0,8664,PPI
0,7028,PPI
0,3894,PPI
0,3831,PPI
0,1471,PPI
0,2647,PPI
0,6541,PPI
0,7914,PPI
0,10957,PPI
0,4279,PPI
1,8154,PPI
1,2055,PPI
2,6361,PPI
2,10968,PPI
2,3185,PPI
2,2366,PPI
2,4633,PPI
2,2767,PPI
2,2179,PPI
3,3579,PPI
3,6719,PPI
3,5413,PPI
3,12388,PPI
3,3719,PPI
3,2833,PPI
3,4178,PPI
3,943,PPI
3,8386,PPI
3,10775,PPI
3,7116,PPI
3,7130,PPI
3,8960,PPI
3,156,PPI
3,11077,PPI
3,5316,PPI
3,12214,PPI
3,5845,PPI
3,12430,PPI
3,11708,PPI
3,10538,PPI
3,10272,PPI
3,9238,PPI
3,5089,PPI
3,11255,PPI
3,800,PPI
4,5417,PPI
4,4362,PPI
4,5001,PPI
4,8846,PPI
4,6928,PPI
4,2660,PPI
4,9161,PPI
4,12748,PPI
4,9322,PPI
4,6865,PPI
4,3661,PPI
4,3395,PPI
4,2847,PPI
4,1495,PPI
4,2730,PPI
4,2822,PPI
4,694,PPI
4,8871,PPI
4,7078,PPI
4,673,PPI
4,4697,PPI
4,9734,PPI
4,2177,PPI
4,10118,PPI
4,2752,PPI
4,2064,PPI
4,8027,PPI
4,12838,PPI
4,4212,PPI
4,9609,PPI
4,12294,PPI
4,4747,PPI
4,4012,PPI
4,5027,PPI
4,728,PPI
4,2971,PPI
4,9910,PPI
4,1944,PPI
4,2314,PPI
4,6533,PPI
4,12221,PPI
4,1801,PPI
4,7196,PPI
4,4939,PPI
5,10191,PPI
5,12052,PPI
6,12447,PPI
6,1373,PPI
6,8244,PPI
6,10942,PPI
6,4655,PPI
6,3835,PPI
6,11423,PPI
6,11019,PPI
7,4561,PPI
8,11670,PPI
8,131,PPI
8,8692,PPI
8,4815,PPI
8,9482,PPI
8,2641,PPI
8,10775,PPI
8,1376,PPI
8,2833,PPI
8,7359,PPI
8,10929,PPI
8,3530,PPI
8,5008,PPI
8,6874,PPI
8,12430,PPI
8,11708,PPI
8,2075,PPI
8,10140,PPI
8,1812,PPI
8,9024,PPI
8,1377,PPI
8,1857,PPI
8,3788,PPI
8,1246,PPI
8,12137,PPI
8,5089,PPI
9,1774,PPI
9,7979,PPI
10,2630,PPI
10,5997,PPI
10,10618,PPI
10,8892,PPI
10,97,PPI
10,9183,PPI
10,11680,PPI
10,5813,PPI
10,6406,PPI
10,498,PPI
10,6740,PPI
10,8431,PPI
10,12423,PPI
10,6759,PPI
10,4307,PPI
10,1956,PPI
10,11946,PPI
10,12321,PPI
11,6928,PPI
11,7078,PPI
11,12747,PPI
11,4509,PPI
11,12640,PPI
11,916,PPI
11,6286,PPI
11,8395,PPI
11,9106,PPI
11,7035,PPI
11,1944,PPI
11,10216,PPI
11,12221,PPI
11,100,PPI
11,5223,PPI
11,10334,PPI
11,11436,PPI
11,11919,PPI
11,673,PPI
12,296,PPI
12,1936,PPI
12,5132,PPI
12,5218,PPI
12,763,PPI
12,4777,PPI
12,2037,PPI
12,1320,PPI
12,6124,PPI
12,11090,PPI
12,4849,PPI
12,5307,PPI
12,12104,PPI
12,11638,PPI
12,1580,PPI
12,1118,PPI
12,10106,PPI
12,10472,PPI
12,7198,PPI
12,12746,PPI
12,5481,PPI
12,335,PPI
12,9009,PPI
12,4874,PPI
12,408,PPI
12,5840,PPI
12,8905,PPI
12,1660,PPI
12,8043,PPI
12,11897,PPI
13,12494,PPI
13,8333,PPI
13,8191,PPI
13,2589,PPI
13,9137,PPI
13,7054,PPI
13,773,PPI
13,7380,PPI
14,4631,PPI
14,6865,PPI
14,12711,PPI
14,10157,PPI
14,2532,PPI
14,6647,PPI
14,6753,PPI
14,623,PPI
14,2213,PPI
14,3966,PPI
14,1820,PPI
14,5399,PPI
14,973,PPI
14,8774,PPI
14,12448,PPI
14,9419,PPI
14,9497,PPI
14,4427,PPI
14,8911,PPI
14,7720,PPI
14,10573,PPI
14,2727,PPI
14,854,PPI
14,12233,PPI
15,4328,PPI
15,11072,PPI
15,6744,PPI
16,5955,PPI
16,4307,PPI
16,9093,PPI
16,11140,PPI
16,2729,PPI
16,1539,PPI
16,6259,PPI
16,8378,PPI
16,4141,PPI
16,5233,PPI
16,9435,PPI
16,3127,PPI
16,9794,PPI
16,5317,PPI
16,5325,PPI
16,4295,PPI
16,334,PPI
16,12726,PPI
16,9782,PPI
16,2725,PPI
16,304,PPI
16,2448,PPI
16,7272,PPI
16,701,PPI
16,10841,PPI
16,4078,PPI
16,2637,PPI
16,3535,PPI
16,12303,PPI
16,4677,PPI
16,7989,PPI
16,7154,PPI
16,5573,PPI
16,7431,PPI
16,5137,PPI
16,1725,PPI
16,4675,PPI
16,1181,PPI
16,12302,PPI
16,5096,PPI
16,199,PPI
16,2562,PPI
16,1774,PPI
16,6365,PPI
16,6710,PPI
16,4000,PPI
16,12013,PPI
16,6322,PPI
16,1982,PPI
16,6061,PPI
16,706,PPI
16,6828,PPI
16,1968,PPI
16,1425,PPI
16,8356,PPI
16,2142,PPI
16,11059,PPI
16,2081,PPI
16,11693,PPI
16,3770,PPI
16,9158,PPI
16,9892,PPI
16,6050,PPI
17,11395,PPI
17,10856,PPI
17,1830,PPI
17,9046,PPI
18,5059,PPI
18,6014,PPI
18,6397,PPI
18,7766,PPI
18,8611,PPI
18,12540,PPI
18,6302,PPI
18,1878,PPI
18,3488,PPI
18,9229,PPI
18,3089,PPI
18,2882,PPI
18,7940,PPI
18,10974,PPI
18,7948,PPI
18,1973,PPI
18,8317,PPI
18,1730,PPI
18,1758,PPI
19,4532,PPI
20,4495,PPI
20,2596,PPI
20,2941,PPI
20,6897,PPI
20,11391,PPI
20,9582,PPI
20,3874,PPI
21,2393,PPI
21,6668,PPI
21,4750,PPI
21,8136,PPI
21,4636,PPI
22,12564,PPI
22,4796,PPI
23,2300,PPI
23,11821,PPI
23,6556,PPI
23,3770,PPI
23,10838,PPI
23,3963,PPI
23,3994,PPI
23,4295,PPI
23,2040,PPI
23,2171,PPI
23,12302,PPI
23,11647,PPI
23,11543,PPI
23,11856,PPI
23,4885,PPI
23,1011,PPI
23,12594,PPI
23,10600,PPI
23,1425,PPI
23,58,PPI
23,2084,PPI
24,8987,PPI
24,4304,PPI
24,11638,PPI
24,7466,PPI
24,8012,PPI
24,8669,PPI
24,10183,PPI
24,4507,PPI
24,4783,PPI
24,115,PPI
24,9986,PPI
24,8283,PPI
24,944,PPI
24,9946,PPI
24,3525,PPI
24,5353,PPI
24,6687,PPI
24,8816,PPI
24,5070,PPI
24,9962,PPI
24,7908,PPI
24,6727,PPI
24,9923,PPI
24,1721,PPI
24,10359,PPI
24,12347,PPI
24,9199,PPI
24,762,PPI
24,5789,PPI
24,7692,PPI
24,11526,PPI
24,8806,PPI
24,3798,PPI
24,8202,PPI
24,3379,PPI
24,6562,PPI
24,6290,PPI
24,6311,PPI
24,11855,PPI
24,10665,PPI
24,7304,PPI
24,8587,PPI
24,10495,PPI
24,5508,PPI
24,4471,PPI
24,8365,PPI
24,3415,PPI
24,6049,PPI
25,10308,PPI
25,12711,PPI
25,7603,PPI
25,2723,PPI
26,12354,PPI
26,3871,PPI
26,5375,PPI
26,4174,PPI
26,7446,PPI
27,12267,PPI
27,4665,PPI
28,6296,PPI
28,1290,PPI
28,3713,PPI
28,6471,PPI
28,1117,PPI
28,12202,PPI
28,11565,PPI
28,9313,PPI
28,136,PPI
28,6570,PPI
28,2049,PPI
28,10553,PPI
28,10020,PPI
28,1551,PPI
29,3125,PPI
29,4078,PPI
29,2208,PPI
29,1381,PPI
29,1590,PPI
29,2835,PPI
29,8607,PPI
29,5499,PPI
29,8527,PPI
29,1570,PPI
29,6666,PPI
29,6038,PPI
29,1855,PPI
29,7620,PPI
29,12225,PPI
29,521,PPI
29,1202,PPI
29,10096,PPI
29,12816,PPI
29,12556,PPI
29,6753,PPI
29,6647,PPI
29,1423,PPI
29,11115,PPI
29,6621,PPI
29,12108,PPI
29,1825,PPI
29,7550,PPI
29,8228,PPI
29,5563,PPI
29,8564,PPI
29,11511,PPI
29,4141,PPI
29,4121,PPI
29,726,PPI
29,10896,PPI
29,9764,PPI
29,12131,PPI
29,5519,PPI
29,4846,PPI
29,8901,PPI
29,6133,PPI
29,9438,PPI
29,2818,PPI
29,573,PPI
29,12222,PPI
29,5800,PPI
30,7391,PPI
30,9356,PPI
30,7434,PPI
30,4286,PPI
30,5968,PPI
30,12471,PPI
30,4078,PPI
30,10867,PPI
30,6911,PPI
30,11469,PPI
30,10193,PPI
30,9011,PPI
30,6753,PPI
30,5521,PPI
30,6733,PPI
30,1465,PPI
30,460,PPI
30,12711,PPI
30,6159,PPI
30,4141,PPI
30,11815,PPI
30,12239,PPI
30,1258,PPI
30,6647,PPI
31,6917,PPI
31,525,PPI
31,1766,PPI
31,10985,PPI
31,2341,PPI
31,266,PPI
31,4387,PPI
31,2222,PPI
31,7882,PPI
31,495,PPI
31,10275,PPI
31,1209,PPI
31,1696,PPI
31,11015,PPI
31,6796,PPI
31,220,PPI
31,5759,PPI
31,3103,PPI
31,7830,PPI
31,4287,PPI
31,9543,PPI
31,11532,PPI
31,12555,PPI
31,5428,PPI
31,1359,PPI
31,5213,PPI
31,9219,PPI
31,11313,PPI
31,4977,PPI
31,4608,PPI
31,7663,PPI
31,11617,PPI
31,6715,PPI
31,9051,PPI
31,7410,PPI
31,12781,PPI
31,5713,PPI
31,10362,PPI
31,3105,PPI
31,8548,PPI
31,11286,PPI
32,9659,PPI
32,7748,PPI
32,1660,PPI
32,2354,PPI
32,7198,PPI
32,934,PPI
32,8871,PPI
32,11638,PPI
32,10390,PPI
32,10472,PPI
32,2933,PPI
32,12548,PPI
33,3139,PPI
33,4881,PPI
33,8086,PPI
33,12082,PPI
33,10327,PPI
34,8226,PPI
35,11618,PPI
36,11916,PPI
36,10014,PPI
36,1136,PPI
37,4532,PPI
38,5148,PPI
38,6674,PPI
38,8823,PPI
39,8180,PPI
39,4307,PPI
39,12231,PPI
39,11946,PPI
40,4148,PPI
40,2157,PPI
40,8721,PPI
40,285,PPI
40,6533,PPI
40,2752,PPI
40,7445,PPI
41,7609,PPI
41,8997,PPI
41,3996,PPI
41,9576,PPI
41,5076,PPI
41,3882,PPI
41,2122,PPI
41,4557,PPI
41,1343,PPI
41,8998,PPI
41,7112,PPI
42,1580,PPI
42,12354,PPI
42,2463,PPI
42,3552,PPI
42,1731,PPI
42,1838,PPI
42,10081,PPI
42,6980,PPI
42,10472,PPI
43,11500,PPI
43,5193,PPI
43,4091,PPI
43,7962,PPI
43,3903,PPI
43,8545,PPI
43,7654,PPI
43,10576,PPI
43,8058,PPI
43,9267,PPI
43,3217,PPI
43,1753,PPI
43,9665,PPI
43,5665,PPI
43,4344,PPI
43,949,PPI
43,8576,PPI
43,12014,PPI
43,8538,PPI
44,9288,PPI
44,10838,PPI
44,6556,PPI
44,12488,PPI
44,12594,PPI
44,5570,PPI
44,7856,PPI
44,7404,PPI
44,5960,PPI
44,6476,PPI
44,7767,PPI
44,1425,PPI
44,8342,PPI
44,3472,PPI
44,11856,PPI
44,6878,PPI
44,4685,PPI
45,5618,PPI
45,4042,PPI
45,11867,PPI
45,1312,PPI
45,6182,PPI
45,5361,PPI
45,9502,PPI
45,4665,PPI
45,2603,PPI
45,8443,PPI
45,4627,PPI
45,4911,PPI
45,8498,PPI
45,4810,PPI
45,4634,PPI
45,10247,PPI
45,790,PPI
45,653,PPI
45,2003,PPI
45,10619,PPI
45,2524,PPI
45,170,PPI
46,89,PPI
46,5084,PPI
46,9348,PPI
47,10314,PPI
48,1320,PPI
48,1936,PPI
48,350,PPI
48,1879,PPI
48,8933,PPI
48,6600,PPI
48,3888,PPI
48,5840,PPI
48,9032,PPI
48,12652,PPI
48,5481,PPI
49,5605,PPI
49,145,PPI
49,5710,PPI
50,10994,PPI
51,2492,PPI
52,8945,PPI
52,7932,PPI
53,4413,PPI
53,2990,PPI
53,12725,PPI
53,2137,PPI
53,8289,PPI
54,6696,PPI
54,5925,PPI
54,11950,PPI
54,1688,PPI
54,2018,PPI
54,164,PPI
54,3903,PPI
54,2148,PPI
54,12876,PPI
54,9141,PPI
54,6475,PPI
55,5609,PPI
55,1828,PPI
55,503,PPI
55,626,PPI
55,2558,PPI
55,7296,PPI
55,5718,PPI
55,7964,PPI
55,11068,PPI
55,2948,PPI
55,2328,PPI
55,12735,PPI
55,8495,PPI
55,4467,PPI
55,243,PPI
55,3339,PPI
55,2294,PPI
55,11909,PPI
55,1689,PPI
55,4540,PPI
55,10725,PPI
55,418,PPI
55,2782,PPI
55,12208,PPI
55,12380,PPI
55,1694,PPI
56,661,PPI
57,2148,PPI
57,11950,PPI
57,12876,PPI
57,164,PPI
57,9141,PPI
57,1688,PPI
57,2686,PPI
57,2018,PPI
57,3903,PPI
57,5925,PPI
57,6475,PPI
59,5600,PPI
59,8759,PPI
59,2652,PPI
59,9397,PPI
59,6345,PPI
59,6298,PPI
59,5118,PPI
59,7264,PPI
59,11905,PPI
59,9825,PPI
59,4652,PPI
59,10315,PPI
59,1931,PPI
59,6753,PPI
59,4012,PPI
59,2730,PPI
59,12716,PPI
59,7189,PPI
59,11338,PPI
59,4141,PPI
59,1993,PPI
59,6461,PPI
59,3482,PPI
59,4070,PPI
59,7416,PPI
59,9717,PPI
59,10314,PPI
59,6647,PPI
59,918,PPI
59,3446,PPI
59,4816,PPI
59,4078,PPI
59,4362,PPI
59,9526,PPI
59,2697,PPI
59,10118,PPI
59,12221,PPI
59,4004,PPI
59,9584,PPI
59,2639,PPI
59,7485,PPI
59,9768,PPI
59,5405,PPI
59,2058,PPI
59,9206,PPI
59,6155,PPI
58,513,PPI
58,10200,PPI
58,2324,PPI
58,7987,PPI
58,1968,PPI
58,9359,PPI
58,11140,PPI
58,11285,PPI
58,1425,PPI
58,4741,PPI
58,7821,PPI
58,1478,PPI
58,5836,PPI
58,221,PPI
58,1121,PPI
58,8497,PPI
58,5570,PPI
58,12613,PPI
58,3994,PPI
58,802,PPI
58,7671,PPI
58,10547,PPI
58,8715,PPI
58,7404,PPI
58,10838,PPI
58,7014,PPI
58,12269,PPI
58,5893,PPI
58,9218,PPI
58,9386,PPI
58,10560,PPI
58,8220,PPI
58,4839,PPI
58,5735,PPI
58,11856,PPI
58,6569,PPI
58,12648,PPI
58,2081,PPI
58,9794,PPI
58,12673,PPI
58,8519,PPI
58,6201,PPI
58,10559,PPI
58,6326,PPI
58,2302,PPI
58,4259,PPI
58,7895,PPI
58,3672,PPI
58,6476,PPI
58,294,PPI
58,4078,PPI
58,3088,PPI
58,3146,PPI
58,4290,PPI
58,12594,PPI
58,3293,PPI
58,6114,PPI
58,4151,PPI
58,6551,PPI
58,6052,PPI
58,8784,PPI
58,2084,PPI
58,1405,PPI
58,11543,PPI
58,4269,PPI
58,2197,PPI
58,12641,PPI
58,4258,PPI
58,5294,PPI
58,7502,PPI
58,8745,PPI
58,706,PPI
58,678,PPI
58,3770,PPI
58,12726,PPI
58,2537,PPI
58,9588,PPI
58,12248,PPI
58,5286,PPI
58,8131,PPI
58,8405,PPI
58,6556,PPI
58,6228,PPI
58,2984,PPI
58,3529,PPI
58,3590,PPI
58,2040,PPI
58,9243,PPI
58,7856,PPI
58,3186,PPI
58,10777,PPI
58,2776,PPI
58,9451,PPI
58,1541,PPI
58,334,PPI
58,2300,PPI
58,401,PPI
58,12302,PPI
58,4062,PPI
58,5002,PPI
58,11436,PPI
58,1725,PPI
58,23,PPI
58,4885,PPI
58,2935,PPI
58,8342,PPI
58,11134,PPI
60,1982,PPI
60,2300,PPI
60,11647,PPI
60,12573,PPI
60,11856,PPI
60,8801,PPI
60,3690,PPI
60,5096,PPI
60,5570,PPI
60,6788,PPI
60,1606,PPI
60,9158,PPI
60,6050,PPI
60,6556,PPI
60,3472,PPI
60,10838,PPI
60,7404,PPI
60,2171,PPI
60,5233,PPI
61,9365,PPI
61,3092,PPI
61,2612,PPI
61,5099,PPI
61,9923,PPI
61,11578,PPI
61,7855,PPI
61,6676,PPI
61,10738,PPI
61,2663,PPI
61,7736,PPI
61,3252,PPI
61,984,PPI
61,11613,PPI
61,143,PPI
61,10137,PPI
61,8816,PPI
61,5464,PPI
61,3735,PPI
61,1796,PPI
61,3940,PPI
61,3368,PPI
61,3148,PPI
62,12294,PPI
62,1533,PPI
62,2533,PPI
62,9161,PPI
62,7078,PPI
62,6928,PPI
62,1945,PPI
62,3395,PPI
63,5531,PPI
63,8760,PPI
64,3553,PPI
64,2722,PPI
64,472,PPI
64,11395,PPI
64,3615,PPI
64,11366,PPI
65,5943,PPI
65,4295,PPI
65,2773,PPI
65,3770,PPI
65,8545,PPI
65,9263,PPI
65,11991,PPI
65,12014,PPI
65,5498,PPI
65,12302,PPI
65,3223,PPI
66,749,PPI
66,5132,PPI
66,10106,PPI
66,350,PPI
66,3594,PPI
66,7680,PPI
66,9009,PPI
66,8966,PPI
66,1936,PPI
66,296,PPI
67,9337,PPI
67,9170,PPI
67,4718,PPI
67,6953,PPI
67,5795,PPI
67,3418,PPI
67,8398,PPI
67,2608,PPI
67,6442,PPI
67,473,PPI
67,3859,PPI
67,5595,PPI
67,11397,PPI
67,8283,PPI
68,6286,PPI
68,12747,PPI
68,8650,PPI
68,11119,PPI
68,10656,PPI
68,1085,PPI
68,11502,PPI
68,8395,PPI
68,6518,PPI
68,7299,PPI
68,7693,PPI
68,5805,PPI
68,2209,PPI
68,7126,PPI
68,5254,PPI
68,1176,PPI
68,9624,PPI
68,8213,PPI
68,8659,PPI
68,1099,PPI
68,916,PPI
68,2963,PPI
68,6628,PPI
68,4596,PPI
68,2284,PPI
68,8401,PPI
69,7098,PPI
69,9083,PPI
69,9742,PPI
69,7114,PPI
69,11263,PPI
69,6652,PPI
69,4705,PPI
69,10367,PPI
69,9573,PPI
69,2209,PPI
69,141,PPI
69,6859,PPI
69,8012,PPI
69,11133,PPI
70,1866,PPI
70,7998,PPI
71,2975,PPI
71,6566,PPI
71,4013,PPI
71,8322,PPI
71,200,PPI
71,2756,PPI
71,12014,PPI
71,1224,PPI
71,3441,PPI
71,9615,PPI
71,11502,PPI
71,12197,PPI
71,4665,PPI
71,9550,PPI
71,8332,PPI
71,5311,PPI
71,12230,PPI
71,9770,PPI
71,8077,PPI
71,233,PPI
71,5061,PPI
71,12811,PPI
71,7849,PPI
71,10278,PPI
71,11641,PPI
71,2126,PPI
71,9120,PPI
71,10831,PPI
71,12140,PPI
72,7328,PPI
72,1781,PPI
72,7832,PPI
72,11004,PPI
72,11983,PPI
72,12451,PPI
72,6519,PPI
73,11638,PPI
73,11073,PPI
73,9017,PPI
73,11885,PPI
73,8012,PPI
73,11685,PPI
73,11915,PPI
73,1813,PPI
73,6442,PPI
73,11320,PPI
73,4400,PPI
73,615,PPI
73,7846,PPI
73,11810,PPI
73,5939,PPI
73,8387,PPI
73,9311,PPI
73,10042,PPI
73,4808,PPI
73,12459,PPI
74,5644,PPI
74,6359,PPI
74,873,PPI
74,11977,PPI
74,4486,PPI
74,6374,PPI
74,6848,PPI
74,5288,PPI
75,5646,PPI
75,1620,PPI
76,3940,PPI
76,8816,PPI
76,617,PPI
76,1723,PPI
76,9923,PPI
76,10738,PPI
76,7527,PPI
77,7574,PPI
78,7463,PPI
78,5162,PPI
78,4655,PPI
78,7986,PPI
78,12834,PPI
78,9615,PPI
78,9887,PPI
78,158,PPI
78,8502,PPI
78,6722,PPI
78,5311,PPI
79,6604,PPI
80,2657,PPI
80,5468,PPI
80,1665,PPI
80,12028,PPI
80,11356,PPI
80,10014,PPI
80,6358,PPI
80,5472,PPI
